7918d6dd73c221df5c7ef3eda1fbbee41a|120105|69.3175,34.5153|70.2147,34.6643|83.78
79b790beba5164dda50e6053e83ace551e|120105|69.2237,34.4686|68.9573,33.8143|76.77
794cd95ae48948a32f3e8d01edf420431b|120105|69.3537,33.6852|69.1622,34.4363|85.36
797c46abc45ffef59ee4152f85ea7372f9|120105|69.7101,33.9399|69.2334,34.5004|76.19
79e648acbcc69326aae653559f44fbe3ce|120105|68.6574,33.8868|68.8194,34.1512|32.97
790d76b59c4735c795938ef79ae266eec6|120105|69.252,34.5516|69.237,34.9346|42.61
7986b8f136ba9129812380e7d56f2ef69e|120105|69.0373,35.3146|69.1373,34.5512|85.37
790bca11720cabad8ba0fc25c7489f5927|120105|70.2083,34.6705|69.147,34.5834|97.59
796bd72acc3bc19468813a7a55dbcc7f64|120105|69.0163,34.0081|69.1539,33.7558|30.8
796df8fd60317d657a63182cbcc15fce24|120105|69.1717,35.0163|69.1173,34.5725|49.6
79a728a189d8fd9b4ae80348c291150a57|120105|69.2653,34.9311|69.1566,34.5906|39.14
79a17c2fcf80190fbc65464494791d7f3f|120105|69.1192,34.512|68.8796,34.421|24.18
79ffd48d4380bbbb81cdd4d8f030171282|120105|69.3925,34.5689|69.1318,34.5524|23.94
79d875c5d5cb8714ebcd0362160b30acb8|120105|68.9128,33.9417|69.1976,34.5017|67.55
7919767e0366a849dfee30b38868d3566c|120105|69.5991,34.9697|69.1426,34.5393|63.48
7975245156e098cd82192fd722738126f0|120105|69.1822,34.5613|69.6481,34.8526|53.51
795dbcd669aa5dc2f4613b3487d6d2646d|120105|69.0865,34.5876|69.4727,35.2762|84.27
79f4b52d4bb8ad9dcfc54de4f2e9df584d|120105|69.1667,35.0031|69.1919,34.5285|52.82
79349baa2f3414532dbd869721f8ed981c|120105|69.387,34.375|69.1784,34.5138|24.58
79d106e07145c5025df7d21d481ee2ede2|120105|69.387,34.375|69.2491,34.5416|22.43
79fa491c0bf9cefd013cd10905be2c090a|120105|69.5879,34.5689|69.1368,34.5563|41.33
79ff16086511d5bd311acc6c68bd25e6a7|120105|68.7131,34.0002|68.8581,34.3947|45.85
79db5eaa0ac3f7034efb26f417ea409215|120105|69.0972,34.715|69.1954,34.5378|21.66
798e0cc46ad4b8c79653cfcc40cb708afc|120105|69.0791,34.5252|68.7639,34.4634|29.69
79a1fa176335c2f6ba4da07b3a30bc0e84|120105|69.0791,34.5252|68.7634,34.3597|34.3
792344cd3d26a6facc3349dca0f5659355|120105|69.1976,34.5017|69.7101,33.9399|78.25
79370c250c17798f5cdbc9849f3ceddd7a|120105|69.3238,35.1029|69.0856,34.5336|66.93
79ec2f187a92f07fae702cb0b0847e2486|120105|69.0501,34.496|68.7634,34.3597|30.35
799e4c2a9da515c8ce1cf508023fba8226|120105|69.0434,34.5334|68.8194,34.1512|47.21
7996463b839dba5c9067784f5a82f1e303|120105|70.0398,34.5031|69.3925,34.5689|59.74
79dce7aac98176ec71fc6517c440ed7aef|120105|69.1797,34.584|69.5735,34.5047|37.13
7970eabca4383ce1f9d70a461e298df526|120105|68.9128,33.9417|69.2589,34.5642|76.18
793d709227a3c7aa73c831cab81e5b1f06|120105|69.232,34.4907|68.9128,33.9417|67.74
79cf1bad7b07f58086982a5d55a79bd761|120105|70.0398,34.5031|69.1809,34.5178|78.72
791960e87b944cc6b396097d66aa3cd658|120105|69.1368,34.5563|68.8438,34.9957|55.71
79c59d375d819ce015438f0acb94079c31|120105|69.1144,34.749|69.1611,34.5679|20.59
79f0955a5e17a8a99d2af627a6b74f0e24|120105|69.0865,34.5876|69.1679,34.9048|36.05
794ae27b72116824ef94c404d4ffa3ba63|120105|69.1084,34.5237|68.8581,34.3947|27.06
799b1721ef3632d4fa75602aaba3fb1eb3|120105|69.2262,34.9685|69.1787,34.516|50.5
7967e4ebbd106144c742bdd66ac2f4fe9b|120105|69.3116,34.5494|69.387,34.375|20.59
79bf351e327ed7d18d35465be0c89fa78c|120105|69.0617,34.7864|69.237,34.9346|22.96
7905416023386a824bb60080fd69d940d8|120105|69.5991,34.9697|69.1343,34.5946|59.51
796884cd420973978839ba2d347b1a313f|120105|69.0865,34.5876|69.3291,34.518|23.53
79388a63b7310241f578fd17c678b249b6|120105|69.1144,34.749|69.1666,34.5333|24.46
79a6dcc2bcfa23f541a8bb381384888001|120105|69.1525,34.5102|69.237,35.1194|68.18
790109078f5a28cb7568abdf9e937f5e59|120105|69.1173,34.5725|69.1667,35.0031|48.09
796226b184fb8af4a1c1fe7aac67680140|120105|69.0373,35.3146|69.1173,34.5725|82.84
