user|date|srcLoc(lat,long)|destLoc(lat,long)|distInKms
7909e2c5a8a8237549900e138ad9500104|120106|69.5991,34.9697|69.1976,34.5017|63.67
7909e2c5a8a8237549900e138ad9500104|120107|69.5991,34.9697|69.1992,34.5092|62.91
7909e2c5a8a8237549900e138ad9500104|120110|69.5991,34.9697|69.1976,34.5017|63.67
790aac4d31cc2022de1b9f7bf05e34ab51|120109|69.2031,34.0085|69.0961,34.209|24.37
790ad8e59ca3a61a200839ddda2d0baf78|120109|69.3555,34.533|69.1225,34.565|21.63
790b0224d622ff9b7d3bbf94b3efcd45a4|120105|70.1177,34.7348|69.1905,34.5234|88.03
790b0224d622ff9b7d3bbf94b3efcd45a4|120106|70.1177,34.7348|69.2572,34.5104|82.6
790b0224d622ff9b7d3bbf94b3efcd45a4|120107|70.1177,34.7348|69.2745,34.4943|81.67
790b0224d622ff9b7d3bbf94b3efcd45a4|120108|70.1177,34.7348|69.2396,34.5057|84.29
790b0224d622ff9b7d3bbf94b3efcd45a4|120109|70.1177,34.7348|69.2572,34.5104|82.6
790b382b097fa4776030948ad6a5ccf133|120105|69.1646,34.5434|70.218,34.5031|96.61
790b382b097fa4776030948ad6a5ccf133|120106|69.1646,34.5434|70.218,34.5031|96.61
790b382b097fa4776030948ad6a5ccf133|120107|69.1646,34.5434|69.771,34.5967|55.84
790b5a688d6bf2da1d72611246ff9b276c|120106|69.0434,34.5334|68.8581,34.3947|22.94
790bca11720cabad8ba0fc25c7489f5927|120105|69.147,34.5834|70.2083,34.6705|97.59
790bca11720cabad8ba0fc25c7489f5927|120106|69.147,34.5834|70.2083,34.6705|97.59
790bca11720cabad8ba0fc25c7489f5927|120107|69.147,34.5834|70.2083,34.6705|97.59
790bca11720cabad8ba0fc25c7489f5927|120108|69.147,34.5834|70.2083,34.6705|97.59
790bca11720cabad8ba0fc25c7489f5927|120109|69.147,34.5834|70.2083,34.6705|97.59
790bca11720cabad8ba0fc25c7489f5927|120111|69.147,34.5834|70.2083,34.6705|97.59
790cea1a2d701c51cbde562a24eb8d3430|120110|69.252,34.5516|69.2511,34.9433|43.56
790d19f16b0bd650d0c14f137ca929ce8c|120105|69.1661,34.5327|70.0398,34.5031|80.11
790d19f16b0bd650d0c14f137ca929ce8c|120106|69.1661,34.5327|69.5735,34.5047|37.45
790d76b59c4735c795938ef79ae266eec6|120105|69.237,34.9346|69.252,34.5516|42.61
790d76b59c4735c795938ef79ae266eec6|120106|69.237,34.9346|69.252,34.5516|42.61
790d76b59c4735c795938ef79ae266eec6|120110|69.237,34.9346|69.2491,34.5416|43.71
790d985ad9395f5f705b54af60a4818954|120108|69.1464,34.3199|69.1784,34.532|23.77
790d985ad9395f5f705b54af60a4818954|120109|69.1464,34.3199|69.1784,34.532|23.77
